book	chapter	verse	latin_incipit	english_translation
Eccl	2	6	Extruxi mihi piscinas aquarum, ut irrigarem silvam lignorum germinantium	Lapide discusses Solomon's construction of water reservoirs and irrigation systems. He enumerates five ancient uses of pools: fish ponds (vivaria), bathing, thermal baths (thermae), naval spectacles (naumachia), and agricultural irrigation, showing Solomon's engineering prowess while noting that even such useful and beautiful works cannot escape the universal vanity.
Eccl	2	7	Possedi servos et ancillas, multamque familiam habui	Lapide treats Solomon's vast household of servants and slaves, his immense herds and flocks (including 42,000 horses according to Scripture), noting he surpassed all before him in Jerusalem. He draws the moral that dominion over servants and possession of livestock are vain, since the master himself is subject to death and the servitude of his own passions.
Eccl	2	8	Coacervavi mihi argentum et aurum, et substantias regum ac provinciarum	Lapide provides an extensive discussion of Solomon's fabulous wealth in gold and silver, gathered from tribute of kings and provinces. He calculates the total from multiple scriptural sources and discusses the singers, musicians, instruments, cups, and vessels Solomon amassed. He identifies five vanities of wealth: it breeds anxiety, invites envy, corrupts morals, cannot satisfy desire, and must be left to others at death.
Eccl	2	9	Et supergressus sum opibus omnes qui fuerunt ante me in Jerusalem	Lapide explains that Solomon surpassed all predecessors in both riches and wisdom. He provides six interpretations of how "wisdom persevered" with Solomon during his experiment with pleasure: that he maintained rational judgment, that wisdom served as his guide and criterion, that he never fully abandoned philosophical inquiry, and that divine wisdom preserved him from utter ruin.
Eccl	2	10	Et omnia quae desideraverunt oculi mei, non negavi eis	Lapide discusses Solomon's total indulgence of every desire of the eyes, treating the concupiscence of the eyes as the root of many vices. He explains that Solomon denied himself nothing in order to conduct a thorough experiment, taking pleasure as his "portion" from labor. The moral is a warning about custody of the eyes and the insatiability of sensory desire.
Eccl	2	11	Cumque me convertissem ad universa opera quae fecerant manus meae	Lapide recounts Solomon's comprehensive review of all his works and labors, finding in everything vanity and affliction of spirit, with nothing permanent under the sun. This verse serves as the climactic verdict on the entire experiment with pleasure: after exhaustive testing, Solomon concludes that no created good provides lasting satisfaction.
Eccl	2	12	Transivi ad contemplandam sapientiam, erroresque et stultitiam	Lapide explains Solomon's turn from pleasure back to contemplating wisdom versus folly. He discusses the parenthetical question "What is man, that he should follow the King his Maker?" providing seven interpretations, most centering on the impossibility of any successor matching Solomon's unique experiment, and the ultimate question of humanity's relationship to God.
Eccl	2	13	Et vidi quod tantum praecederet sapientia stultitiam, quantum differt lux a tenebris	Lapide affirms that wisdom excels folly as light excels darkness -- a genuine and lasting truth. Yet this very superiority becomes a source of anguish when the wise man realizes that external fortune treats wise and foolish alike, and that the advantage of wisdom yields no exemption from the common fate of death.
Eccl	2	14	Sapientis oculi in capite eius; stultus in tenebris ambulat	Lapide explains that the wise man's eyes are in his head (he looks ahead with foresight and reason), while the fool walks in darkness. He develops five analogies between light and wisdom. Yet the crushing observation follows: the same death (unus interitus) befalls both wise and foolish, undermining the practical advantage of wisdom in purely temporal terms.
Eccl	2	15	Et dixi in corde meo: Si unus et stulti et meus occasus erit, quid mihi prodest?	Lapide presents Solomon's anguished question: if the same fate of death awaits both the wise man and the fool, what profit is there in having labored for greater wisdom? This is not a denial of wisdom's intrinsic value but a lament over its inability to confer temporal immortality or escape from the universal human condition.
Eccl	2	16	Non erit memoria sapientis similiter ut stulti in perpetuum	Lapide treats the vanity of posthumous fame: neither the wise nor the foolish are remembered forever. He notes the Septuagint reading differs slightly, and emphasizes that oblivion swallows both the learned and the ignorant, leveling all human distinctions in the long course of time.
Eccl	2	17	Et idcirco taeduit me vitae meae	Lapide explains Solomon's taedium vitae (weariness of life), connecting it to similar expressions of life-weariness in Paul, Job, Elijah, Rebecca, and David. All things done under the sun are vanity and vexation; this comprehensive disgust with life arises not from despair but from the recognition that earthly existence cannot fulfill the soul's deepest longings.
Eccl	2	18	Rursus detestatus sum omnem industriam meam	Lapide discusses Solomon's hatred of his own labor because its fruits must be left to an unknown heir, who may be wise or foolish. He identifies four vanities of acquiring wealth for heirs: uncertainty of the heir's character, the toiler's inability to enjoy his own fruits after death, the ingratitude of heirs, and the irrationality of laboring for one who did not labor.
Eccl	2	19	Et quis scit utrum sapiens an stultus futurus sit	Lapide continues the lament that the heir's character is unknown, yet he will have dominion over all that the wise man gathered with labor and wisdom. This compounds the vanity: not merely death, but the transfer of one's life's work to a potentially unworthy successor.
Eccl	2	20	Unde cessavi, renuntiavitque cor meum ultra laborare sub sole	Lapide explains that Solomon resolved to cease from anxious labor, with his heart renouncing (Hebrew "iaash" meaning to despair of) further toil under the sun. This represents the practical conclusion drawn from the preceding arguments about the futility of accumulation.
Eccl	2	21	Nam cum alius laboret in sapientia et doctrina et sollicitudine, homini otioso quaesita dimittit	Lapide treats the injustice that one who labors with wisdom, learning, and diligence must leave everything to an idle person who contributed nothing. He notes three qualities of the toiler (sapientia, doctrina, sollicitudo) that make the transfer especially grievous, and declares this too to be supreme vanity.
Eccl	2	22	Quid enim proderit homini de universo labore suo	Lapide asks what profit comes from all of man's labor and mental affliction. He identifies three afflictions of the avaricious: ceaseless toil by day, sleepless anxiety by night, and the sorrow of leaving all behind at death. Days full of pain and nights without rest prove the vanity of relentless acquisition.
Eccl	2	23	Cuncti dies eius doloribus et aerumnis pleni sunt	Lapide expands on the misery of the acquisitive life: all days are filled with sorrows and hardships, and even at night the mind finds no rest. This verse completes the portrait of the anxiety that accompanies worldly labor, showing that neither waking nor sleeping hours offer peace to the covetous.
Eccl	2	24	Nonne melius est comedere et bibere, et ostendere animae suae bona de labore suo?	Lapide interprets this not as Epicurean hedonism but as Solomon's commendation of moderate, grateful enjoyment of one's labor as God's gift. He explains that frugal and honest use of one's goods, with thanksgiving to God, is superior to anxious hoarding. This temperate enjoyment comes from God's hand and represents the wise response to the vanity of excessive toil.
Eccl	2	25	Quis ita devorabit et deliciis affluet ut ego?	Lapide explains Solomon's rhetorical question: if anyone could have found happiness in abundance, it was Solomon, who surpassed all in wealth and pleasure. He provides three interpretations: Solomon's unique qualification to judge pleasure, the impossibility of anyone exceeding his experiment, and the implied conclusion that if Solomon found pleasure vain, no one else should expect otherwise.
Eccl	2	26	Homini bono in conspectu suo dedit Deus sapientiam et scientiam et laetitiam	Lapide explains the chapter's conclusion: God gives wisdom, knowledge, and joy to the good person, but to the sinner He gives the affliction of gathering and heaping up wealth, only to transfer it to the righteous. He discusses the phrase "cassa sollicitudo mentis" (vain anxiety of mind) as characterizing the sinner's futile labor, and concludes that this divine distribution itself demonstrates the vanity of worldly accumulation apart from God's favor.
Eccl	3	0	Synopsis Capitis	Lapide's synopsis outlines four demonstrations of vanity from time: first, all things pass in their appointed time and undergo vicissitudes (vv. 1-8); second, temporal things compared to God's perpetual works are vain and unstable (v. 14); third, time brings tyrannies in which crimes reign and virtue suffers through corrupt judges (v. 16); fourth, time brings death to all men, making them similar to beasts (v. 18).
Eccl	3	1	Omnia tempus habent, et suis spatiis transeunt universa sub caelo	Lapide provides an extensive treatment of time as the framework of universal vanity. He discusses the etymology of "tempus," gives four reasons Solomon treats time at length, describes ancient hieroglyphics of time (stars, the poplar tree, Saturn's sickle, the serpent eating its own tail), and draws the tropological lesson about the preciousness of time that must not be wasted, since all things under heaven pass through their appointed seasons.
Eccl	3	2	Tempus nascendi, et tempus moriendi; tempus plantandi, et tempus evellendi quod plantatum est	Lapide treats the first pair of antitheses: birth and death, planting and uprooting. He provides both literal and tropological interpretations, noting that the time of birth is linked to the time of death as its inevitable consequence, and that planting and uprooting symbolize the establishment and destruction of peoples, institutions, and spiritual states, including the planting of the Hebrew Synagogue and its eventual supersession.
Eccl	3	3	Tempus occidendi, et tempus sanandi; tempus destruendi, et tempus aedificandi	Lapide explains the times of killing and healing, destroying and building, both literally (in war and peace, surgery and medicine, demolition and construction) and morally (mortifying vices and healing souls, tearing down structures of sin and building virtue). Each pair demonstrates God's sovereign ordering of contrary seasons.
Eccl	3	4	Tempus flendi, et tempus ridendi; tempus plangendi, et tempus saltandi	Lapide treats weeping and laughing, mourning and dancing. He discusses the appropriateness of each in its season, notes the distinction between licit and illicit dances, and draws from patristic sources on the spiritual value of weeping (which purifies) over laughter (which dissipates), while acknowledging that legitimate joy has its appointed time.
Eccl	3	5	Tempus spargendi lapides, et tempus colligendi; tempus amplexandi, et tempus longe fieri ab amplexibus	Lapide provides four interpretations of scattering and gathering stones: demolition and construction, scattering and collecting precious gems, casting and retrieving weights, and dispersing and assembling virtues. For embracing and refraining, he discusses conjugal relations, friendship, and the contemplative life, showing that even the most intimate human bonds are subject to temporal vicissitude.
Eccl	3	6	Tempus acquirendi, et tempus perdendi; tempus custodiendi, et tempus abiciendi	Lapide treats gaining and losing, keeping and casting away, applying these to mercantile activity, the acquisition and loss of goods, and the spiritual life. The wise person must know when to acquire and when to relinquish, when to preserve and when to discard, recognizing that attachment to temporal possessions is itself a form of vanity.
Eccl	3	7	Tempus scindendi, et tempus consuendi; tempus tacendi, et tempus loquendi	Lapide treats rending and sewing (garments of mourning, excommunication and reconciliation, the tearing and mending of nature by grace) and provides an extensive discourse on silence and speech. He cites the Pythagorean discipline of five years' silence, Jerome's teaching that one must learn before teaching, and discusses the proper order: silence precedes speech, as learning precedes instruction. The preeminence of silence as the mother of wisdom is strongly emphasized.
Eccl	3	8	Tempus dilectionis, et tempus odii; tempus belli, et tempus pacis	Lapide treats the times for love and hatred, war and peace. He explains that the proper object of love is virtue and of hatred is sin, discusses the etymology of "bellum" (war, possibly from "belua" meaning beast, or from Belus who first waged war), and teaches that war is to be undertaken only for the sake of peace. Peace is God's special gift (Philip. 4:7), and true peace flourishes with justice and virtue.
Eccl	3	9	Quid habet amplius homo de labore suo?	Lapide explains this as the concluding epiphonema (summary exclamation) of the entire catalogue of antitheses. After recounting the ceaseless vicissitude of contrary times and actions, Solomon returns to the theme stated at the book's opening: what lasting profit does man gain from all his labor? The answer is none, since all things succeed one another, torment the soul, and vanish with time.
Eccl	3	10	Vidi afflictionem quam dedit Deus filiis hominum, ut distendantur in ea	Lapide explains that God gave this affliction -- the ceaseless occupation with temporal things and their investigation -- to humble humanity. He connects this to Chapter 1, verse 13, where the same idea appears, and argues that God's purpose is to make humans recognize the limits of their knowledge and turn from vain curiosity about creation to reverence for the Creator.
Eccl	3	11	Cuncta fecit bona in tempore suo, et mundum tradidit disputationi eorum	Lapide provides a rich and multilayered exegesis. God made everything beautiful in its time: the beauty of the world consists in the apt succession and proportion of its parts through the seasons. The Hebrew "olam" (world/eternity/hidden thing) generates five major interpretations of what God placed in human hearts: hidden knowledge of death's hour, desire for perpetuity, the world itself for dominion, free choice, and the drive for intellectual investigation. Humans cannot fully comprehend God's works from beginning to end, which compels perpetual wonder and drives the soul toward God.
Eccl	3	12	Et cognovi quod non esset melius nisi laetari et facere bene in vita sua	Lapide interprets "facere bene" in three senses: to live joyfully and treat oneself well (frugal enjoyment), to practice beneficence toward others (almsgiving and charity), and most fully, to do what is morally good and virtuous (fulfilling God's law). True joy comes only from good works; the conjunction of rejoicing and doing good shows that authentic happiness and virtuous action are inseparable.
Eccl	3	13	Omnis enim homo qui comedit et bibit, et videt bonum de labore suo, hoc donum Dei est	Lapide emphasizes that moderate enjoyment of one's labor is a specific gift of God's providence (donum Elohim). He distinguishes this from Epicurean indulgence: it is God who grants the ability to eat, drink, and find satisfaction in honest labor, and this gift is not universal but given according to divine disposition. Augustine allegorically refers this to the Eucharist, though Lapide notes the literal sense concerns temperate use of temporal goods.
Eccl	3	14	Didici quod omnia opera quae fecit Deus perseverent in perpetuum	Lapide explains that God's works endure forever, in contrast to the transient works of man. Nothing can be added to or subtracted from God's designs. He discusses the double antithesis between human and divine operations: human works do not endure and are constantly modified; God's works persist in perpetual species-succession even when individuals perish. God does this so that humans will fear Him (timere Elohim), which comprehends reverence, love, obedience, and worship.
Eccl	3	15	Quod factum est, ipsum permanet; quae futura sunt, iam fuerunt	Lapide explains that what has been will be again, and God "restores" (Hebrew nirdaph) what has passed away. He discusses how the past is figuratively "pursued" and "driven away" by the present, as water in a river is pushed forward by what follows. God ensures the perpetual succession and restoration of natural cycles, so that while individuals perish, the species and the order of creation endure.
Eccl	3	16	Vidi sub sole in loco iudicii impietatem, et in loco iustitiae iniquitatem	Lapide treats the corruption of justice as a supreme vanity and affliction. He provides six interpretations of how this verse connects to the chapter's theme, ultimately arguing it presents a second, moral form of affliction alongside the natural affliction of temporal instability: in the very seat of judgment, where justice should reign, wickedness presides. He cites Cyprian's graphic depiction of judicial corruption and the Psalmist's denunciation of unjust judges, showing this ethical vanity is worse than the physical vanity of temporal change.
Eccl	3	17	Et dixi in corde meo: Iustum et impium iudicabit Deus, et tempus omnis rei tunc erit	Lapide explains Solomon's consolation: God will judge both the righteous and the wicked, and there will be a time for every matter. He discusses the eschatological "tunc" (then) as referring to the Last Judgment, when all deeds, words, thoughts, and hidden intentions will be revealed and justly recompensed. This divine judgment counterbalances the earthly corruption of justice described in the previous verse, and demonstrates that even judicial vanity is subject to God's sovereign time.
Eccl	3	18	Dixi in corde meo de filiis hominum, ut probaret eos Deus, et ostenderet similes esse bestiis	Lapide explains that God made humans outwardly similar to beasts in order to test their faith and hope regarding the soul's immortality. He provides five interpretations of this resemblance: humans are literally beast-like in bodily functions; they behave as beasts toward one another (homo homini lupus); beasts prey on humans as humans prey on beasts; humans in their own estimation become bestial through ignorance of their dignity; and humans are "political beasts" imitating various animals' vices -- the fox's cunning, the wolf's voracity, the lion's pride, the pig's gluttony, and the goat's lust.
Eccl	3	19	Idcirco unus interitus est hominis et iumentorum, et aequa utriusque conditio	Lapide explains that the same death befalls humans and beasts: both die, both breathe the same air, and outwardly humans have no advantage over animals. He carefully distinguishes the literal sense (pertaining to the body only) from erroneous conclusions: Jerome, Thomas Aquinas, and other Fathers insist this refers solely to corporeal death, not to the soul. The human soul is immortal and created directly by God, unlike animal souls which are generated through natural processes and perish with the body.
Eccl	3	20	Et omnia pergunt ad unum locum; de terra facta sunt, et in terram pariter revertuntur	Lapide explains that all bodies -- human and animal alike -- return to the dust from which they came, citing Genesis 3:19. He discusses the earth as "mother of all" and provides classical parallels (Brutus kissing the earth, Caesar's dream). This universal return to dust is the visible evidence of vanity that leads many to doubt the soul's immortality, which Solomon addresses in the next verse.
Eccl	3	21	Quis novit si spiritus filiorum Adam ascendat sursum, et si spiritus iumentorum descendat deorsum?	Lapide provides extensive commentary on this verse, which he interprets not as Solomon's personal doubt but as his observation that few people truly know and internalize the truth of the soul's immortality. He discusses multiple interpretations: Gregory, Olympiodorus, and Cajetan take it as spoken from the perspective of the worldly or Epicurean; others see Solomon acknowledging the philosophical difficulty of demonstrating immortality by reason alone. Lapide cites Augustine's story of the physician Gennadius taught about immortality through an angelic dream, and Marsilio Ficino's deathbed apparition to Michael Mercatus confirming the soul's survival.
Eccl	3	22	Et deprehendi nihil esse melius, quam laetari hominem in opere suo, et hanc esse partem illius	Lapide explains Solomon's practical conclusion: given the outward similarity between human and animal death and the difficulty of demonstrating immortality to the masses, the wisest course is to rejoice in one's good works and make this one's portion. The closing question "Who shall bring him to see what shall be after him?" addresses the vanity of anxious concern about unknown heirs and future events, counseling trust in God's providence rather than fruitless speculation about predestination or future contingencies.
Eccl	4	0	Occasione iniquorum judiciorum	Synopsis of chapter 4: From unjust judgments and judges (ch. 3:16), Lapide transitions to universal worldly vanity and affliction: calumny (i.e. fraud, violence, and lies that flourish everywhere), the oppression of the poor by the powerful. Thence he treats envy (v.4), sloth (v.5), avarice of the man without an heir (v.7-8), the advantages of companionship (v.9), the vanity of kings and kingdoms (v.13-16), and closes with obedience being better than the sacrifices of fools (v.17).
Eccl	4	1	Verti me ad alia, et vidi calumnias	Lapide comments on the tears of the innocent and the violence of oppressors. Calumnia properly means a false criminal accusation (Cicero), but here extends to all violence, fraud, and circumvention by which the powerful unjustly oppress the weak. He cites the Chaldee paraphrase on the anguish of the oppressed under the sun, and notes that no one speaks consolation to them nor redeems them from their affliction.
Eccl	4	2	Et laudavi magis mortuos quam viventes	Lapide explains that Solomon praises the dead over the living and the unborn over both, because in the face of universal oppression, it seems better never to have been born than to witness the evils under the sun. He adduces many pagan philosophers (Aristotle, Gorgias, Aristides) who held death preferable to a calamitous life, and notes this is spoken not absolutely but relative to the miseries of the oppressed.
Eccl	4	4	Rursus contemplatus sum omnes labores hominum	Lapide treats envy as the companion of industry: all human toil and skillful enterprise is exposed to the envy of one's neighbor. Envy targets not the lowly but the excellent and industrious, whose brilliance eclipses others. He cites the proverb "High things are struck by lightning; the tallest peaks feel the wind," and illustrates with Cain killing Abel, Esau persecuting Jacob, Saul pursuing David, and Romulus slaying Remus.
Eccl	4	5	Stultus complicat manus suas et comedit carnes suas	Lapide interprets the fool who folds his hands and consumes his own flesh as a portrait of the slothful man. The idle person wastes away from inactivity (as exercise builds strength, so idleness devours the flesh). He offers four readings: the sluggard sells even his clothing to buy food; he is emaciated by sloth; he starves to death by hyperbole; or his idleness breeds domestic rage that devours his household.
Eccl	4	6	Melior est pugillus cum requie	A handful with tranquility is better than two hands full with toil and vexation of spirit. Lapide explains this as the lazy man's self-justifying maxim: he prefers poverty with ease over abundance gained through labor that incites envy. The error is in leaping from one extreme (excessive labor) to the other (total idleness), when the virtuous mean of moderate labor should be sought. Yet the underlying truth stands: peace of mind with little food surpasses feasting with anxiety.
Eccl	4	7	Considerans reperi et aliam vanitatem sub sole	Lapide introduces a new vanity: the solitary miser who has neither son nor brother yet ceaselessly labors and is never satisfied with riches. This man never pauses to ask "For whom do I toil and deprive myself of good things?" His avarice is insatiable — like the dog that always gapes for more — and his loneliness makes his toil doubly futile, since he has no heir to enjoy the fruits.
Eccl	4	9	Melius est ergo duos esse simul quam unum	Lapide explains that two are better than one because companionship yields a good reward for labor. He draws the inference from the preceding solitary miser: since solitude brings such vanity, society and friendship are preferable. Friends labor together, console one another, share their joys doubly, and can leave each other as successors and heirs. Jerome, Ambrose, Bonaventure, and Hugo all commend fraternal and social life over isolation.
Eccl	4	10	Si unus ceciderit ab altero fulcietur	Lapide expounds the mutual support of friends: if one falls, the other raises him up; woe to the solitary man who falls with no one to lift him. This applies literally (physical aid in travel or battle) and morally (a friend corrects, encourages, and restores one who falls into sin or misfortune). He cites Proverbs 18:19 on the brother aided by a brother being like a fortified city.
Eccl	4	11	Et si dormierint duo fovebuntur mutuo	Lapide treats the warming of two who sleep together as both literal and symbolic. Physically, shared body heat sustains and nourishes during sleep; he notes that bears and dormice survive winter by the warmth of hibernation. Morally, it signifies how a friend's fervent charity rekindles a torpid companion's zeal for virtue. Ambrose mystically reads the "two" as Christ and the Christian: Christ warms us with the fire of charity He came to cast upon the earth.
Eccl	4	12	Et si quispiam praevaluerit contra unum duo resistunt ei	Lapide comments that whereas one strong man overpowers a weaker single opponent, two lesser men together prevail against even a stronger foe. The triple cord that is not easily broken signifies the strength of a small but firm fellowship of two or three friends. He reviews mystical readings: Jerome sees the Holy Trinity; others see faith, hope, and charity; Olympiodorus sees body, soul, and the Holy Spirit united.
Eccl	4	13	Melior est puer pauper et sapiens rege sene et stulto	Lapide interprets the wise poor youth as superior to the old foolish king, because wisdom, even in poverty and youth, can rise from prison to a throne (as Joseph did), while the foolish aged king, failing to foresee dangers, loses his kingdom. The Talmudists allegorize the youth as the good angel and the old king as the evil inclination, but Lapide prefers the literal and historical sense.
Eccl	4	14	Quod de carcere catenisque interdum quis egrediatur ad regnum	Lapide explains this verse as the reason the poor wise youth excels the old foolish king: one can rise from prison to kingship through wisdom, while another born in royal purple may fall to destitution through folly. He illustrates with Joseph ascending from Pharaoh's dungeon to govern Egypt, and Zedekiah falling from Judah's throne into Babylonian captivity. The Chaldee applies it to Abraham and Nimrod.
Eccl	4	15	Vidi cunctos viventes qui ambulant sub sole cum adolescente secundo	Lapide treats the fickleness of popular favor: all the living follow the young successor who will reign after the old king, abandoning the aging monarch. Solomon himself witnessed this when Israel deserted the aged David to follow the young Absalom. Courtiers, like coins now gold now copper, shift allegiance to whichever prince promises more and longer benefits.
